{'eta': 0.47403020289972986, 'gamma': 0.030537724799975352, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.9337461093714985, 'sampling_method': 'gradient_based', 'lambda': 2.753152655294441, 'min_child_weight': 2, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04906375, 'tree_no': 60}
{'eta': 0.45134148883684816, 'gamma': 0.0099839971191506, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6055917587172354, 'sampling_method': 'gradient_based', 'lambda': 2.682596169137747, 'min_child_weight': 7, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04876925, 'tree_no': 61}
{'eta': 0.47803910905550606, 'gamma': 0.13114102324816962, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.601737342341394, 'sampling_method': 'gradient_based', 'lambda': 0.16273616673719316, 'min_child_weight': 2, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04847475, 'tree_no': 62}
{'eta': 0.4468949264288974, 'gamma': 0.3802492376918906, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6080343634328859, 'sampling_method': 'gradient_based', 'lambda': 2.989662004213124, 'min_child_weight': 2, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048327, 'tree_no': 63}
{'eta': 0.4998802223101348, 'gamma': 0.2568863158082941, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.632446450678412, 'sampling_method': 'gradient_based', 'lambda': 2.934916716204225, 'min_child_weight': 6, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.0489165, 'tree_no': 64}
{'eta': 0.496890083674718, 'gamma': 0.09911374720965166, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.7645088387530686, 'sampling_method': 'gradient_based', 'lambda': 0.10657980056754057, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048769, 'tree_no': 65}
{'eta': 0.4923091495304139, 'gamma': 0.497619262699469, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6013024770014302, 'sampling_method': 'gradient_based', 'lambda': 0.3407159837711504, 'min_child_weight': 2, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048843, 'tree_no': 66}
{'eta': 0.4848785023465005, 'gamma': 0.07545092850228807, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9855910432214173, 'sampling_method': 'gradient_based', 'lambda': 2.9756611893886444, 'min_child_weight': 7, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050095375, 'tree_no': 67}
{'eta': 0.48021656323929396, 'gamma': 0.003627932975109993, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6186382218400245, 'sampling_method': 'gradient_based', 'lambda': 1.9019963169673195, 'min_child_weight': 3, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048768875, 'tree_no': 68}
{'eta': 0.48364047214837175, 'gamma': 0.48144868412411845, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9777273363752703, 'sampling_method': 'gradient_based', 'lambda': 2.8952292387851264, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049211124999999994, 'tree_no': 69}
